City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Port-De-Bouc,FR,43.4,4.98,57.2,93,21,2.24,few clouds
345,Lindsay,US,36.2,-119.09,80.01,27,1,4.7,haze
346,Sakakah,SA,29.97,40.21,75.2,22,0,4.7,clear sky
347,Tayu,ID,-6.54,111.05,77.74,82,100,2.64,light rain
348,Pangai,TO,-19.8,-174.35,77.0,83,75,18.34,broken clouds
349,Maningrida,AU,-12.07,134.27,75.78,61,62,3.8,broken clouds
350,Bandar-E Anzali,IR,37.47,49.46,59.0,100,0,0.51,mist
351,Maragogi,BR,-9.01,-35.22,78.58,79,74,11.56,broken clouds
352,Luau,AO,-10.71,22.22,67.66,70,8,4.03,clear sky
353,Ipiau,BR,-14.14,-39.73,74.07,95,100,1.12,overcast clouds
354,Longyearbyen,SJ,78.22,15.64,32.0,93,0,24.16,clear sky
355,Tyukalinsk,RU,55.87,72.2,33.67,92,100,10.67,overcast clouds
356,Sao Filipe,CV,14.9,-24.5,79.23,77,38,10.49,scattered clouds
357,Porto Novo,BJ,6.5,2.6,80.01,85,73,8.01,broken clouds
358,Campbell River,CA,50.02,-125.24,50.0,76,75,2.24,broken clouds
359,Launceston,AU,-41.45,147.17,53.01,93,40,5.82,mist
360,Tura,IN,25.52,90.22,69.48,96,98,1.99,overcast clouds
